arrival_1,arrival_2,arrival_3,arrival_4,peak_1,peak_2,peak_3,peak_4,peak_mag1,peak_mag2,peak_mag3,peak_mag4,coord_x,coord_z
125964,125539,125663,125424,125964,125770,126140,125431,0.001662091,0.001746832,0.001393506,0.00646194,2705.741822,-2631.833374
152131,152121,152112,152124,152297,152222,152220,152278,0.0047471,0.00677926,0.010385191,0.006820652,1207.15155,-1674.088684
166088,166075,166083,166116,166343,166344,166137,166322,0.007635612,0.007833014,0.00530477,0.00722554,138.3740465,-1248.559937
168468,173019,169355,168404,173053,173047,173058,173069,0.002275805,0.0091421,0.001521922,0.001905983,-475.748718,-1238.781189
180041,180008,180033,180078,180125,180094,180135,180132,0.002253114,0.044367213,0.005362125,0.004516279,-967.2241515,-911.8853455
193972,193925,194003,193995,194207,194018,194236,194236,0.035646654,0.194566088,0.010071809,0.009242503,-2097.669556,-622.4416505
231702,233972,231694,231708,231729,234039,231867,231714,0.006198505,0.043370609,0.004772951,0.005853565,-3041.487183,-379.928787
234003,234017,234016,234150,234025,234039,234048,234172,0.002123582,0.043370609,0.001288811,0.001768098,-3041.019409,-381.0270995
242000,241970,242963,246923,242370,242051,246946,246997,0.003378329,0.050334576,0.002331735,0.004606384,-2578.791748,-806.824646
261067,256500,261060,261116,261297,256520,261290,261252,0.00810373,0.016454336,0.009114633,0.015394486,-1462.520325,-1139.277893
275011,274980,274949,274972,275221,275063,275317,275253,0.004002466,0.003861473,0.0108876,0.012421373,-387.2572325,-1576.029114
289026,288976,288987,288941,289077,289086,289108,289129,0.001954627,0.003298237,0.01212166,0.028291196,703.0326845,-2093.512817
302866,302834,302773,302759,303100,302859,302925,302950,0.005239369,0.005278174,0.013900594,0.058486021,1807.618775,-2523.990723
325533,325450,325374,325354,326232,325825,325612,325401,0.002555139,0.00405849,0.019032871,0.084022889,3358.216309,-2692.350098
332547,332443,332390,332401,332744,332530,332597,332461,0.002223189,0.003922161,0.13263686,0.09300528,3362.428711,-2683.489258
358802,361425,361195,361259,361546,361431,361247,361507,0.001781987,0.002062187,0.040281149,0.003363646,3503.735474,-368.6674195
372521,372020,371791,371854,372527,372528,371826,372001,0.001864894,0.002071407,0.057950505,0.005713617,3370.569947,20.290573
431626,431666,431875,431692,431638,431871,431913,431694,0.001643325,0.002486861,0.002136172,0.001851799,-285.192566,-1911.614441
443865,443886,439648,443915,443954,443949,443954,443942,0.046835202,0.005685799,0.003048961,0.005638623,-919.017151,-1983.007996
450897,450907,450872,450941,450986,451062,451022,450962,0.031561632,0.005262152,0.005137324,0.002622272,-1370.92096,-2367.153687
457874,457937,457909,457926,457961,458101,458028,457990,0.096462285,0.008580843,0.004899639,0.008776109,-1974.649414,-2394.676026
464712,464820,464765,464071,464926,464928,464884,464855,0.053327561,0.017539829,0.003497939,0.00217573,-2349.962403,-2857.832398
471415,471786,471539,471640,471777,472049,471929,471897,0.056282059,0.00563514,0.007514333,0.005077372,-2849.709839,-2953.038452
478752,478930,478907,479293,478765,478992,479335,479452,0.047144486,0.003328458,0.001618448,0.001928467,-3100.929199,-3373.888306
497532,498402,497801,502429,497619,502472,497846,502542,0.077035129,0.00576987,0.001302311,0.008448365,-2117.669434,-2809.026001
504676,504923,504463,505266,504771,504932,504774,505269,0.007467804,0.001818063,0.001099432,0.00182146,-1734.135803,-2374.307007
512222,516624,516613,516609,512402,516679,516839,516726,0.005251221,0.005459848,0.004925836,0.007046556,-1185.593201,-2179.967408
